postalCode,lat,lon,locality,label,poi_id,types
35800,48.635878,-2.1223275,Saint-Lunaire,Fête de la glisse,FMABRE035V520K09,["EntertainmentAndEvent"]
35800,48.631588,-2.109435,Saint-Lunaire,Concours de pétanque,FMABRE035V52CDI1,["EntertainmentAndEvent"]
35800,48.6325489,-2.0538046,Dinard,Exposition Hubert Haddad - Galerie Saphir,FMABRE035V52A06L,["EntertainmentAndEvent"]
22100,48.4559609,-2.0404861,Dinan,Exposition COUEPEL Anne-Sophie paysages Urbains et Maritimes,FMABRE022V541GS5,["EntertainmentAndEvent"]
22770,48.6046391,-2.1508198,Lancieux,Randonnée à Lancieux – Les randonneurs de la baie de Lancieux,FMABRE035V529GW3,["EntertainmentAndEvent"]
35730,48.57776,-2.05608,Pleurtuit,Exposition permanente - La biodiversité dans tous ses états,FMABRE035V528P5V,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLI,["EntertainmentAndEvent" "Visit"]
22690,48.48824,-1.98427,La Vicomté-sur-Rance,Vide-greniers,FMABRE022V53N6F9,["EntertainmentAndEvent"]
35800,48.62115,-2.09024,Saint-Lunaire,Summer Jump,FMABRE035V52BB1W,["EntertainmentAndEvent"]
35730,48.5775,-2.06249,Pleurtuit,One woman show - Votre corps me parle,FMABRE035V52C9BJ,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Concours photos estival au Musée Manoli,FMABRE035V52B41A,["CulturalSite" "EntertainmentAndEvent"]
22100,48.45184,-2.04642,Dinan,Vide-greniers,FMABRE022V5400N5,["EntertainmentAndEvent"]
35780,48.6154671,-2.029361,La Richardais,Soirée dansante à bord du Chateaubriand 3,FMABRE035V529Y06,["CulturalSite" "EntertainmentAndEvent"]
35400,48.6319149,-1.9815769,Saint-Malo,Grande expo de l'été - La mer autour,FMABRE035V51D8IU,["EntertainmentAndEvent"]
22770,48.60611,-2.15061,Lancieux,Sur les rives du frémur,FMABRE035V529AZ2,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLR,["EntertainmentAndEvent" "Visit"]
35800,48.6399259,-2.057202,Dinard,Exposition Irving Penn - Photographies de la Collection Pinault,FMABRE035V52BQIW,["CulturalSite" "EntertainmentAndEvent"]
35800,48.6375559,-2.0532985,Dinard,Animation Plage de l'Ecluse - Beach Volley,FMABRE035V52BWWL,["EntertainmentAndEvent"]
35800,48.6321742,-2.0582694,Dinard,Exposition : Le Comte Joseph Rochaïd Dahdah (1814 - 1889) - du Mont-Liban à Dinard,FMABRE035V5290PD,["EntertainmentAndEvent"]
22100,48.45262,-2.04307,Dinan,Spectacle : Intimement Tango,FMABRE022V541IYQ,["EntertainmentAndEvent"]
35430,48.58781,-1.91453,Saint-Père-Marc-en-Poulet,Le second procès de Jehanne dite "d'Arc",FMABRE035V51YG92,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLZ,["EntertainmentAndEvent" "Visit"]
22100,48.45262,-2.04307,Dinan,Danse : "Les Yeux Fermés",FMABRE022V543S9L,["EntertainmentAndEvent"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - La forêt ça me branche,FMABRE022V541626,["EntertainmentAndEvent"]
22100,48.45524,-2.028408,Lanvallay,Exposition photo « Voyages au féminin »,FMABRE022V53PZG8,["EntertainmentAndEvent"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - Embarquez du port de Dinan vers la Rance maritime,FMABRE022V53LTAN,["EntertainmentAndEvent"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - Plantes qui se mangent et qui guérissent,FMABRE022V5415E2,["EntertainmentAndEvent"]
35730,48.58036,-2.06355,Pleurtuit,Heure du conte - Bébêtes et Cie,FMABRE035V52CJKI,["EntertainmentAndEvent"]
35400,48.65058,-2.02315,Saint-Malo,La santé en balade contée,FMABRE035V52COL8,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,JEP - Performances soudées à La Richardais,FMABRE035V52CHSI,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLG,["EntertainmentAndEvent" "Visit"]
35800,48.6255,-2.14225,Saint-Briac-sur-Mer,Exposition - Nathalie Decoster,FMABRE035V528Z5I,["EntertainmentAndEvent"]
35400,48.651719,-2.007876,Saint-Malo,Bestiaires. Damien Colcombet et Salvador Dalí,FMABRE035V51NOOY,["EntertainmentAndEvent"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Rando kayak et plantes sauvages,FMABRE022V544T5C,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLV,["EntertainmentAndEvent" "Visit"]
35400,48.6517106,-2.018135,Saint-Malo,Festival Quai des Bulles,FMABRE0351329343,["EntertainmentAndEvent"]
35400,48.650324,-2.0276897,Saint-Malo,Visages du nord exode 138,FMABRE035V51ENOF,["CulturalSite" "EntertainmentAndEvent"]
35730,48.58036,-2.06355,Pleurtuit,Exposition - Portraits de bestioles,FMABRE035V52CJGX,["EntertainmentAndEvent"]
35800,48.63518,-2.05315,Dinard,11è édition du Triathlon Dinard Côte d'Emeraude Lepape,FMABRE035V528RKZ,["EntertainmentAndEvent"]
22130,48.51112,-2.12963,Languenan,Vide-Grenier,FMABRE022V53Z7NP,["EntertainmentAndEvent"]
22100,48.4559609,-2.0404861,Dinan,Exposition COUDE Vinca & LEGUERINEL Luc Nature Poetique,FMABRE022V541GUF,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Atelier créatif au musée Manoli – Pas banal l’animal,FMABRE035V52CU4T,["EntertainmentAndEvent"]
22100,48.45441,-2.05774,Dinan,Concert : Sameer Ahmad & Reynz,FMABRE022V543JDA,["EntertainmentAndEvent"]
22770,48.606175,-2.1508368,Lancieux,Visite enfant à Lancieux,FMABRE035V529DNB,["EntertainmentAndEvent" "Visit"]
22100,48.4576424,-2.0367353,Lanvallay,Sortie nature - Plantes qui se mangent et qui guérissent,FMABRE022V5415E7,["EntertainmentAndEvent"]
35730,48.58036,-2.06355,Pleurtuit,Bébés lecteurs et éveil musical,FMABRE035V52CJJ4,["EntertainmentAndEvent"]
35870,48.5649178,-2.0126245,Le Minihic-sur-Rance,Concert - Mina Aguilar et Arthur Soulès,FMABRE035V52A0Z6,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WM5,["EntertainmentAndEvent" "Visit"]
22100,48.4577828,-2.035881,Lanvallay,Sortie nature - Déclic photo nature,FMABRE022V54167F,["EntertainmentAndEvent"]
22100,48.448192,-2.0740142,Quévert,Vide-greniers,FMABRE022V5423M3,["EntertainmentAndEvent"]
