Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
28007,ANET,28260,,ANET,48.852753435,1.442802993
28018,AUTHON DU PERCHE,28330,,AUTHON DU PERCHE,48.185068167,0.888075735
28021,BAILLEAU LE PIN,28120,,BAILLEAU LE PIN,48.359419105,1.322932875
28037,BEROU LA MULOTIERE,28270,,BEROU LA MULOTIERE,48.740675638,1.07284262
28038,BETHONVILLIERS,28330,,BETHONVILLIERS,48.231174747,0.899794011
28039,BEVILLE LE COMTE,28700,,BEVILLE LE COMTE,48.440449431,1.703373623
28048,LA BOURDINIERE ST LOUP,28360,ST LOUP,LA BOURDINIERE ST LOUP,48.316551446,1.429970399
28059,BREZOLLES,28270,,BREZOLLES,48.688649724,1.064342513
28061,BROU,28160,,BROU,48.217370975,1.157542533
28067,CERNAY,28120,,CERNAY,48.384870641,1.230667398
28068,CHALLET,28300,,CHALLET,48.555526276,1.427786211
28074,LA CHAPELLE D AUNAINVILLE,28700,,LA CHAPELLE D AUNAINVILLE,48.416061576,1.797041309
28077,LA CHAPELLE FORTIN,28340,,LA CHAPELLE FORTIN,48.648115161,0.862676104
28084,CHARTAINVILLIERS,28130,,CHARTAINVILLIERS,48.543442181,1.545663921
28090,LES CHATELETS,28270,,LES CHATELETS,48.65947831,1.018247538
28091,LES CHATELLIERS NOTRE DAME,28120,,LES CHATELLIERS NOTRE DAME,48.347026397,1.209771389
28094,CHAUDON,28210,,CHAUDON,48.654491957,1.493894368
28096,LA CHAUSSEE D IVRY,28260,,LA CHAUSSEE D IVRY,48.888578073,1.488178989
28099,CHUISNES,28190,,CHUISNES,48.437041499,1.188357432
28103,CLOYES LES TROIS RIVIERES,28220,LE MEE,CLOYES LES TROIS RIVIERES,48.000617158,1.290455048
28103,CLOYES LES TROIS RIVIERES,28220,ST HILAIRE SUR YERRE,CLOYES LES TROIS RIVIERES,48.000617158,1.290455048
28109,LES CORVEES LES YYS,28240,,LES CORVEES LES YYS,48.365546622,1.146536119
28110,LE COUDRAY,28630,,LE COUDRAY,48.418879188,1.503259176
28111,COUDRAY AU PERCHE,28330,,COUDRAY AU PERCHE,48.23813203,0.857221142
28117,CRECY COUVE,28500,,CRECY COUVE,48.680354361,1.282879728
28120,CRUCEY VILLAGES,28270,,CRUCEY VILLAGES,48.668327968,1.106686824
28123,DAMPIERRE SOUS BROU,28160,,DAMPIERRE SOUS BROU,48.224793009,1.108742325
28129,DENONVILLE,28700,,DENONVILLE,48.392911893,1.799569531
28132,DONNEMAIN ST MAMES,28200,,DONNEMAIN ST MAMES,48.100586378,1.370480149
28136,ECLUZELLES,28500,,ECLUZELLES,48.70883469,1.422093179
28144,LES ETILLEUX,28330,,LES ETILLEUX,48.243879925,0.817614238
28146,FAVEROLLES,28210,,FAVEROLLES,48.681347234,1.584144924
28154,FONTAINE LA GUYON,28190,,FONTAINE LA GUYON,48.475536713,1.297583979
28155,FONTAINE LES RIBOUTS,28170,,FONTAINE LES RIBOUTS,48.65459168,1.247371502
28159,LA FRAMBOISIERE,28250,,LA FRAMBOISIERE,48.5970571,1.015849405
28162,FRESNAY LE COMTE,28360,,FRESNAY LE COMTE,48.304006659,1.478730499
28168,GALLARDON,28320,,GALLARDON,48.533556977,1.688709887
28173,GASVILLE OISEME,28300,,GASVILLE OISEME,48.473074834,1.554908855
28177,GELLAINVILLE,28630,,GELLAINVILLE,48.416069772,1.535256608
28178,GERMAINVILLE,28500,,GERMAINVILLE,48.745154915,1.477722087
28180,GILLES,28260,,GILLES,48.909549586,1.518601814
28188,LE GUE DE LONGROI,28700,,LE GUE DE LONGROI,48.491398411,1.707544033
28191,HANCHES,28130,,HANCHES,48.597413287,1.648561944
28199,JANVILLE EN BEAUCE,28310,MERVILLIERS,JANVILLE EN BEAUCE,48.198765118,1.850345978
28202,LAMBLORE,28340,,LAMBLORE,48.625318327,0.915049818
28203,LANDELLES,28190,,LANDELLES,48.462665981,1.191144605
28211,LOGRON,28200,,LOGRON,48.140999378,1.254001053
28212,LOIGNY LA BATAILLE,28140,,LOIGNY LA BATAILLE,48.126442145,1.723282538
28221,LUMEAU,28140,,LUMEAU,48.10701196,1.77719024
28226,MAILLEBOIS,28170,BLEVY,MAILLEBOIS,48.632130902,1.14962977
28236,ARCISSES,28400,MARGON,ARCISSES,48.33485535,0.898911717
28237,MAROLLES LES BUIS,28400,,MAROLLES LES BUIS,48.366330993,0.942484423
28239,MARVILLE MOUTIERS BRULE,28500,,MARVILLE MOUTIERS BRULE,48.674840896,1.378984504
28245,MESLAY LE GRENET,28120,,MESLAY LE GRENET,48.371109089,1.389979987
28247,LE MESNIL SIMON,28260,,LE MESNIL SIMON,48.889720823,1.534606991
28253,MIGNIERES,28630,,MIGNIERES,48.360584179,1.423766466
28255,MOINVILLE LA JEULIN,28700,,MOINVILLE LA JEULIN,48.376005233,1.700413554
28257,MONDONVILLE ST JEAN,28700,,MONDONVILLE ST JEAN,48.363365109,1.823882616
28260,MONTHARVILLE,28800,,MONTHARVILLE,48.176873534,1.325705586
28263,MONTIGNY SUR AVRE,28270,,MONTIGNY SUR AVRE,48.720393741,1.01242867
28264,MONTIREAU,28240,,MONTIREAU,48.414911383,1.035950254
28270,MORIERS,28800,,MORIERS,48.220873808,1.440458045
28271,MORVILLIERS,28340,,MORVILLIERS,48.64911603,0.946169238
28272,MOTTEREAU,28160,,MOTTEREAU,48.252000992,1.168375047
28276,NEUVY EN BEAUCE,28310,,NEUVY EN BEAUCE,48.275994909,1.873652238
28279,NOGENT LE ROI,28210,VACHERESSES LES BASSES,NOGENT LE ROI,48.63035885,1.523570566
28280,NOGENT LE ROTROU,28400,,NOGENT LE ROTROU,48.317378939,0.804158998
28287,ORGERES EN BEAUCE,28140,,ORGERES EN BEAUCE,48.138816105,1.684426137
28301,POISVILLIERS,28300,,POISVILLIERS,48.507174785,1.461015006
28302,PONTGOUIN,28190,,PONTGOUIN,48.491470828,1.145476469
28303,POUPRY,28140,,POUPRY,48.099877344,1.83346671
28309,PRUNAY LE GILLON,28360,,PRUNAY LE GILLON,48.366352244,1.635363421
28310,LA PUISAYE,28250,,LA PUISAYE,48.612657293,0.969398126
28323,ST ANGE ET TORCAY,28170,,ST ANGE ET TORCAY,48.649298148,1.21441113
